Label,Susan,Jeroen
Bekendmakingen,,
Bekanntmachungen,,
Announcement,,
Besetzung administration,,
Occupation administration,,
Bezettingsbestuur,,
Form designation,,
Vormaanduiding,,
Veterans,,
Veteranen,,
Stahlhelm,,
Bronbeek,,
Soldaten,,
Military personnel,,
Militairen,,
Periodieken,,
Zeitschriften,,
Periodicals,,
Kranten,,
Newspapers,,
Zeitungen,,
Press,,
Pers,,
Verteidigung,,
Fortification,,
Verdedigingswerken,,
Laufgraben,,
Loopgraven,,
Trenches,,
Fortresses,,
Festungen,,
Vestingen,,
Kustverdediging,,
Coastal defense,,
Küstenverteidigung,,
Forts,,
Forten,,
Bunker,,
Bunkers,,
Maginot Line,,
Maginot-Linie,,
Maginot Linie,,
Siegfried Line,,
Westwall,,
Siegfried Linie,,
Kriegsführung,,
Oorlogvoering,,Oorlogvoering
Warfare,,
Barricades,,
Versperringen,,
Barrieren,,
Grebbe line,,
Grebbelinie,,
Grebbe-Linie,,
Wannseeconferentie,,
Wannsee Conference,,
Wannseekonferenz,,
Jodenvervolging,,Jodenvervolging
Holocaust,,Holocaust
Persecution of Jews,,
"Groep Voor Vrijheid, Waarheid en Recht",,
Underground press,,
Illegale pers,,
Deutschfeindliche Schriften,,
Verzetsgroepen,,
Widerstandsgruppen,,
Resistance groups,,
Justiz,,
Justitie,,
Judiciary,,
Law,,
Recht,,
Chemie,,
Chemistry,,
Scheikunde,,
Wetenschappen,,
Science,,
Wissenschaft,,
Natuurwetenschappen,,
Natural science,,
Naturwissenschaft,,
Fonds,,
Trusts,,
Fondsen,,
Oorlogsfondsen,,
War trusts,,
Kriegsfonds,,
Economy,,
Wirtschaft,,
Economie,,
Bersiap,,
Alliierte Wiederbesetzung,,
Geallieerde herbezetting,,
Allied Reoccupation,,
Naoorlogse periode,,
Post-war period,,
Nachkriegszeit,,
Emslandlager,,
Papenburg,,
Concentrationcamps,,
Konzentrationslager,,
Concentratiekampen,concentratiekampen,Concentratiekampen
Dalum',,
Dalum,,
Esterwegen,,
Börgermoor,,
Rhede-Brual,,
Huisvesting,,
Akkommodation,,
Housing,,
Residence,,
Häuser,,
Woningen,,
Volkshuisvesting,,
Public housing,,
Gehäuse,,
Möbel,,
Meubelen,,
Furnishing,,
Alltag,,
Daily life,,
Dagelijks leven,,
Inboedels,,
Furniture,,
Hausrat,,
Verhuizingen,,
Moves,,
Umzüge,,
Temporary housing,,
Notwohnungen,,
Noodwoningen,,
NSVO,,
NSVO',,
Vrouwenorganisaties,,
Frauenorganisationen,,
Women's organisations,,
NSB,,
National Socialist Movement in the Netherlands,,
Government agencies,,
Overheidsinstellingen,,
Regierungsbehörde,,
Rijksbureau voor IJzer en Staal,,
Rijksbureau voor IJzer en Staal',,
Centrale Crisis Controle Dienst,,
Centrale Crisis Controle Dienst',,
Rijksbureau voor de Voedselvoorziening in Oorlogstijd,,
Rijksbureau voor Voedselvoorziening in Oorlogstijd',,
Rijksbureau voor de Voedselvoorziening in Oorlogstijd',,
Nederlandsche Coöperatieve Raad',,
Nederlandse Coöperatieve Raad',,
Nederlandsche Coöperatieve Raad,,
Rijksbureau voor Hout',,
Rijksbureau voor Hout,,
Governance,,
Bestuur,,
Verwaltung,,
Bergstichting,,
War Orphans,,
Kriegswaisen,,
Oorlogsweeskinderen,,
Natural resources,,
Rohstoffe,,
Grondstoffen,,
Aardolie,,
Oil,,
Erdöl,,
Kohle,,
Coal,,
Kolen,,
Stalag Luft III,,
Prisoner-of-war camps,,
Kriegsgefangenenlager,,
Krijgsgevangenkampen,,
Stalag Luft,,
Commemorations,,
